Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close,total_users_holding,avg_users_holding_ln_ret,avg_users_holding_pct_chg
5/2/2014,1881.140015,1881.140015,14.68,16.38,11.23,12.91,,,
5/5/2014,1884.660034,1884.660034,14.75,16.41,12.25,13.29,,,
5/6/2014,1867.719971,1867.719971,15.12,16.62,13.19,13.8,,,
5/7/2014,1878.209961,1878.209961,14.62,16.25,12.82,13.4,,,
5/8/2014,1875.630005,1875.630005,14.58,16.16,12.51,13.43,,,
5/9/2014,1878.47998,1878.47998,14.38,15.99,11.17,12.92,,,
5/12/2014,1896.650024,1896.650024,13.88,15.64,11.2,12.23,,,
5/13/2014,1897.449951,1897.449951,14.04,15.72,10.75,12.13,,,
5/14/2014,1888.530029,1888.530029,14.18,15.93,11.16,12.17,,,
5/15/2014,1870.849976,1870.849976,14.86,16.35,13.35,13.17,,,
5/16/2014,1877.859985,1877.859985,14.33,15.93,11,12.44,,,
5/19/2014,1885.079956,1885.079956,14.11,15.75,11.01,12.42,,,
5/20/2014,1872.829956,1872.829956,14.41,15.83,12.21,12.96,,,
5/21/2014,1888.030029,1888.030029,13.87,15.49,10.47,11.91,,,
5/22/2014,1892.48999,1892.48999,13.83,15.54,10.27,12.03,,,
5/23/2014,1900.530029,1900.530029,13.62,15.48,9.49,11.36,,,
5/27/2014,1911.910034,1911.910034,13.64,15.44,10.65,11.51,,,
5/28/2014,1909.780029,1909.780029,13.77,15.61,10.58,11.68,,,
5/29/2014,1920.030029,1920.030029,13.71,15.65,10.31,11.57,,,
5/30/2014,1923.569946,1923.569946,13.75,15.73,9.73,11.4,,,
6/2/2014,1924.969971,1924.969971,13.88,15.79,10.47,11.58,,,
6/3/2014,1924.23999,1924.23999,13.82,15.67,11.01,11.87,,,
6/4/2014,1927.880005,1927.880005,13.77,15.59,11.59,12.08,,,
6/5/2014,1940.459961,1940.459961,13.58,15.32,10.88,11.68,,,
6/6/2014,1949.439941,1949.439941,12.83,14.76,9.25,10.73,,,
6/9/2014,1951.27002,1951.27002,13.02,14.87,9.77,11.15,,,
6/10/2014,1950.790039,1950.790039,13.01,14.97,9.52,10.99,,,
6/11/2014,1943.890015,1943.890015,13.29,15.23,10.45,11.6,,,
6/12/2014,1930.109985,1930.109985,14.11,15.75,11.99,12.56,,,
6/13/2014,1936.160034,1936.160034,13.79,15.61,11.48,12.18,,,
6/16/2014,1937.780029,1937.780029,13.97,15.74,12.54,12.65,,,
6/17/2014,1941.98999,1941.98999,13.66,15.54,12.68,12.06,,,
6/18/2014,1956.97998,1956.97998,12.62,14.83,10.55,10.61,,,
6/19/2014,1959.47998,1959.47998,12.7,14.7,10.07,10.62,,,
6/20/2014,1962.869995,1962.869995,12.87,14.82,10.33,10.85,,,
6/23/2014,1962.609985,1962.609985,12.92,14.9,10.27,10.98,,,
6/24/2014,1949.97998,1949.97998,13.38,15.19,12.01,12.13,,,
6/25/2014,1959.530029,1959.530029,13.11,14.92,11.11,11.59,,,
6/26/2014,1957.219971,1957.219971,13.07,14.9,11.26,11.63,,,
6/27/2014,1960.959961,1960.959961,12.82,14.78,10.65,11.26,,,
6/30/2014,1960.22998,1960.22998,13.01,14.74,11.17,11.57,,,
7/1/2014,1973.319946,1973.319946,12.74,14.51,10.05,11.15,,,
7/2/2014,1974.619995,1974.619995,12.49,14.25,9.42,10.82,,,
7/3/2014,1985.439941,1985.439941,12.24,14.04,8.54,10.32,,,
7/7/2014,1977.650024,1977.650024,12.87,14.5,10.47,11.33,,,
7/8/2014,1963.709961,1963.709961,13.21,14.8,11.64,11.98,,,
7/9/2014,1972.829956,1972.829956,12.99,14.63,10.48,11.65,,,
7/10/2014,1964.680054,1964.680054,13.65,15.14,12.08,12.59,,,
7/11/2014,1967.569946,1967.569946,13.28,14.83,11.15,12.08,,,
7/14/2014,1977.099976,1977.099976,12.93,14.51,10.62,11.82,,,
7/15/2014,1973.280029,1973.280029,13.16,14.67,11.08,11.96,,,
7/16/2014,1981.569946,1981.569946,12.63,14.37,10.26,11,,,
7/17/2014,1958.119995,1958.119995,14.97,15.53,16.23,14.54,,,
7/18/2014,1978.219971,1978.219971,13.36,14.72,12.05,12.06,,,
7/21/2014,1973.630005,1973.630005,13.8,15,12.95,12.81,,,
7/22/2014,1983.530029,1983.530029,13.5,14.78,11.54,12.24,,,
7/23/2014,1987.01001,1987.01001,13.38,14.82,10.83,11.52,,,
7/24/2014,1987.97998,1987.97998,13.45,14.97,10.88,11.84,,,
7/25/2014,1978.339966,1978.339966,14,15.38,11.84,12.69,,,
7/28/2014,1978.910034,1978.910034,13.92,15.34,12.02,12.56,,,
7/29/2014,1969.949951,1969.949951,14.22,15.64,13.47,13.28,,,
7/30/2014,1970.069946,1970.069946,14.26,15.57,13.29,13.33,,,
7/31/2014,1930.670044,1930.670044,16.38,17.1,19.59,16.95,,,
8/1/2014,1925.150024,1925.150024,16.78,17.5,19.01,17.03,,,
8/4/2014,1938.98999,1938.98999,15.81,16.88,14.87,15.12,,,
8/5/2014,1920.209961,1920.209961,17.14,18.01,17.18,16.87,,,
8/6/2014,1920.23999,1920.23999,16.93,17.92,16.25,16.37,,,
8/7/2014,1909.569946,1909.569946,17.22,18.13,16.76,16.66,,,
8/8/2014,1931.589966,1931.589966,16.69,17.66,15.39,15.77,,,
8/11/2014,1936.920044,1936.920044,15.76,17.12,14.84,14.23,,,
8/12/2014,1933.75,1933.75,15.7,17.15,14.49,14.13,,,
8/13/2014,1946.719971,1946.719971,14.85,16.53,12.63,12.9,,,
8/14/2014,1955.180054,1955.180054,14.43,16.11,12.29,12.42,,,
8/15/2014,1955.060059,1955.060059,14.42,16.22,14.34,13.15,,,
8/18/2014,1971.73999,1971.73999,13.91,15.64,12.07,12.32,,,
8/19/2014,1981.599976,1981.599976,13.79,15.61,11,12.21,,,
8/20/2014,1986.51001,1986.51001,13.76,15.59,10.8,11.78,,,
8/21/2014,1992.369995,1992.369995,13.53,15.5,10.94,11.76,,,
8/22/2014,1988.400024,1988.400024,13.51,15.49,10.08,11.47,,,
8/25/2014,1997.920044,1997.920044,13.57,15.33,10.42,11.7,,,
8/26/2014,2000.02002,2000.02002,13.71,15.61,10.14,11.63,,,
8/27/2014,2000.119995,2000.119995,13.92,15.68,9.89,11.78,,,
8/28/2014,1996.73999,1996.73999,14.13,15.91,10.34,12.05,,,
8/29/2014,2003.369995,2003.369995,14.27,15.99,10,11.98,,,
9/2/2014,2002.280029,2002.280029,14.46,16.12,10.32,12.25,,,
9/3/2014,2000.719971,2000.719971,14.39,16.08,10.83,12.36,,,
9/4/2014,1997.650024,1997.650024,14.54,16.16,11.8,12.64,,,
9/5/2014,2007.709961,2007.709961,14.08,15.88,10.27,12.09,,,
9/8/2014,2001.540039,2001.540039,14.39,16.18,12.05,12.66,,,
9/9/2014,1988.439941,1988.439941,14.84,16.35,13.33,13.5,,,
9/10/2014,1995.689941,1995.689941,14.63,16.28,12.74,12.88,,,
9/11/2014,1997.449951,1997.449951,14.68,16.26,12.07,12.8,,,
9/12/2014,1985.540039,1985.540039,15.04,16.52,13.28,13.31,,,
9/15/2014,1984.130005,1984.130005,15.58,16.88,15.27,14.12,,,
9/16/2014,1998.97998,1998.97998,14.85,16.35,13.21,12.73,,,
9/17/2014,2001.569946,2001.569946,14.62,16.18,11.81,12.65,,,
9/18/2014,2011.359985,2011.359985,14.23,15.98,11.05,12.03,,,
9/19/2014,2010.400024,2010.400024,14.38,16.08,10.41,12.11,,,
9/22/2014,1994.290039,1994.290039,15.26,16.88,13.46,13.69,,,
9/23/2014,1982.77002,1982.77002,16.07,17.31,15.6,14.93,,,
9/24/2014,1998.300049,1998.300049,15.22,16.74,12.89,13.27,,,
9/25/2014,1965.98999,1965.98999,16.59,17.7,15.94,15.64,,,
9/26/2014,1982.849976,1982.849976,16.02,17.45,15.04,14.85,,,
9/29/2014,1977.800049,1977.800049,16.82,18.01,16.11,15.98,,,
