Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close
2017-01-30,2280.899902,2280.899902,14.41,16.63,11.66,11.88
2017-01-31,2278.8701170000004,2278.8701170000004,14.48,16.7,11.77,11.99
2017-02-01,2279.550049,2279.550049,14.29,16.53,12.04,11.81
2017-02-02,2280.850098,2280.850098,14.59,16.65,11.16,11.93
2017-02-03,2297.419922,2297.419922,14.05,16.27,9.19,10.97
2017-02-06,2292.560059,2292.560059,14.24,16.41,10.17,11.37
2017-02-07,2293.080078,2293.080078,14.35,16.44,9.47,11.29
2017-02-08,2294.669922,2294.669922,14.56,16.6,9.6,11.45
2017-02-09,2307.8701170000004,2307.8701170000004,14.17,16.35,8.85,10.88
2017-02-10,2316.100098,2316.100098,13.91,16.17,9.02,10.85
2017-02-13,2328.25,2328.25,13.68,15.91,9.32,11.07
2017-02-14,2337.580078,2337.580078,13.19,15.44,8.94,10.74
2017-02-15,2349.25,2349.25,13.41,15.43,10.26,11.97
2017-02-16,2347.219971,2347.219971,13.63,15.68,10.02,11.76
2017-02-17,2351.159912,2351.159912,13.72,15.79,9.03,11.49
2017-02-21,2365.379883,2365.379883,14.04,15.99,10.22,11.57
2017-02-22,2362.820068,2362.820068,14.39,16.25,10.39,11.74
2017-02-23,2363.810059,2363.810059,14.74,16.54,10.15,11.71
2017-02-24,2367.340088,2367.340088,14.76,16.68,9.41,11.47
2017-02-27,2369.75,2369.75,14.91,16.62,10.83,12.09
2017-02-28,2363.639893,2363.639893,15.28,16.95,11.89,12.92
2017-03-01,2395.959961,2395.959961,14.86,16.62,10.57,12.54
2017-03-02,2381.919922,2381.919922,14.77,16.63,9.6,11.81
2017-03-03,2383.1201170000004,2383.1201170000004,14.26,16.25,8.56,10.96
2017-03-06,2375.310059,2375.310059,14.34,16.32,9.67,11.24
2017-03-07,2368.389893,2368.389893,14.41,16.38,10.23,11.45
2017-03-08,2362.97998,2362.97998,14.54,16.41,10.91,11.86
2017-03-09,2364.8701170000004,2364.8701170000004,14.78,16.62,11.78,12.3
2017-03-10,2372.600098,2372.600098,14.38,16.33,10.67,11.66
2017-03-13,2373.469971,2373.469971,14.36,16.27,10.78,11.35
2017-03-14,2365.449951,2365.449951,14.63,16.4,11.78,12.3
2017-03-15,2385.26001,2385.26001,14.2,16.13,10.76,11.63
2017-03-16,2381.379883,2381.379883,13.78,15.78,9.74,11.21
2017-03-17,2378.25,2378.25,13.92,15.85,9.87,11.28
2017-03-20,2373.469971,2373.469971,13.9,15.86,10.23,11.34
2017-03-21,2344.02002,2344.02002,14.62,16.43,14.23,12.47
2017-03-22,2348.449951,2348.449951,14.68,16.4,14.51,12.81
2017-03-23,2345.959961,2345.959961,14.91,16.52,15.14,13.12
2017-03-24,2343.97998,2343.97998,14.55,16.28,13.43,12.96
2017-03-27,2341.590088,2341.590088,14.23,15.99,12.12,12.5
2017-03-28,2358.570068,2358.570068,13.68,15.4,10.51,11.53
2017-03-29,2361.129883,2361.129883,13.43,15.19,10.08,11.42
2017-03-30,2368.060059,2368.060059,13.37,15.09,9.58,11.54
2017-03-31,2362.719971,2362.719971,13.6,15.25,9.66,12.37
2017-04-03,2358.840088,2358.840088,13.67,15.27,10.16,12.38
2017-04-04,2360.159912,2360.159912,13.37,14.94,9.51,11.79
2017-04-05,2352.949951,2352.949951,14.12,15.45,11.89,12.89
2017-04-06,2357.48999,2357.48999,13.66,15.13,10.27,12.39
2017-04-07,2355.540039,2355.540039,14.06,15.44,10.06,12.87
2017-04-10,2357.159912,2357.159912,14.58,15.83,10.36,14.05
2017-04-11,2353.780029,2353.780029,15.16,16.19,10.54,15.07
2017-04-12,2344.929932,2344.929932,15.28,16.29,10.91,15.77
2017-04-13,2328.949951,2328.949951,15.75,16.57,12.75,15.96
2017-04-17,2349.01001,2349.01001,14.86,16.06,13.44,14.66
2017-04-18,2342.189941,2342.189941,14.76,16.02,14.2,14.42
2017-04-19,2338.169922,2338.169922,15.08,16.21,16.2,14.93
2017-04-20,2355.840088,2355.840088,14.53,15.76,15.83,14.15
2017-04-21,2348.689941,2348.689941,14.75,15.93,17.09,14.63
2017-04-24,2374.149902,2374.149902,12.9,14.72,9.96,10.84
2017-04-25,2388.610107,2388.610107,12.85,14.62,9.8,10.76
2017-04-26,2387.449951,2387.449951,12.98,14.77,9.79,10.85
2017-04-27,2388.77002,2388.77002,12.8,14.7,9.24,10.36
